title,gross,valence,arousal,dominance
Young Sherlock Holmes ,4250320,0.811999977,0.519999981,0.537
The Angry Birds Movie ,107225164,0.591749987,0.543249995,0.477749988
42nd Street ,2300000,0.593999982,0.324000001,0.398000002
Days of Thunder ,82670733,0.450666666,0.654333333,0.538333337
Monsters University ,268488329,0.632000002,0.557999998,0.769799995
Blue Jasmine ,33404871,0.626666675,0.195666666,0.288000007
The Green Mile ,136801374,0.575500011,0.361499995,0.394500002
Shooting Fish ,302204,0.388749992,0.604999997,0.4705
Crazy in Alabama ,1954202,0.197000004,0.875499994,0.288000003
Top Spin ,5858,0.63499999,0.477333337,0.460000008
A Most Violent Year ,5749134,0.4038,0.559400004,0.499400002
Letters to God ,2848578,0.647666663,0.327166672,0.515666659
Masked and Anonymous ,533344,0.451999998,0.411400008,0.431400001
You Only Live Twice ,43100000,0.864000003,0.696999987,0.681666672
Plush ,2843,0.625,0.264999986,0.317999989
Batman & Robin ,107285004,0.551999986,0.363000005,0.393000007
Space Cowboys ,90454043,0.671666662,0.455666671,0.591666679
The Invention of Lying ,18439082,0.510199988,0.664400005,0.590800005
Magic Mike XXL ,66009973,0.761666656,0.559666673,0.532000015
"Mystery, Alaska ",8888143,0.432500005,0.682999998,0.487000003
Dead Man's Shoes ,6013,0.482571434,0.499999996,0.477571434
Blazing Saddles ,119500000,0.600666662,0.624000013,0.566333334
Not Easily Broken ,10572742,0.473499995,0.389500007,0.373000011
White Noise ,55865715,0.558999995,0.430333336,0.442333331
Scary Movie 5 ,32014289,0.525999991,0.646000008,0.490333329
Stick It ,26870825,0.441,0.394500002,0.369000003
Speed 2: Cruise Control ,48068396,0.638714279,0.611999997,0.729571428
Jeepers Creepers II ,35143332,0.42899999,0.558000028,0.365999997
Species ,60054449,0.571999997,0.4005,0.647499979
Raging Bull ,45250,0.274000009,0.818333328,0.633333325
Air Bud ,24629916,0.560250007,0.315250002,0.371249996
Zero Dark Thirty ,95720716,0.270249993,0.474249996,0.400750004
There Goes My Baby ,125169,0.837000012,0.36500001,0.455000013
The Incredibles ,261437578,0.856999993,0.796000004,0.90200001
Oliver Twist ,1987287,0.338999994,0.478666673,0.35133333
Seven Years in Tibet ,37901509,0.614749998,0.293499999,0.43175
Atlas Shrugged II: The Strike ,3333823,0.411400002,0.584800005,0.574199998
Dirty Grandpa ,35537564,0.479499996,0.378000006,0.317999996
Public Enemies ,97030725,0.521200004,0.575400001,0.633200014
Deep Rising ,11146409,0.635666668,0.555999994,0.69933333
Dinosaur ,137748063,0.448000014,0.629999995,0.596000016
Never Back Down ,24848292,0.437999994,0.352999985,0.335999995
The Spiderwick Chronicles ,71148699,0.426999986,0.57099998,0.586000025
High Crimes ,41543207,0.498333342,0.707666675,0.725000004
Be Kind Rewind ,11169531,0.772000005,0.380333329,0.518999994
The Bridge on the River Kwai ,27200000,0.656500012,0.357999995,0.562000006
Vacation ,58879132,0.598499984,0.49000001,0.497500002
Warriors of Virtue ,6448817,0.677000016,0.652999982,0.871000022
The Art of Getting By ,1429260,0.774333338,0.520666659,0.682666659
Salt ,118311368,0.328000009,0.356000006,0.304999992
World War Z ,202351611,0.360666657,0.632666667,0.590666662
Charlie's Angels ,125305545,0.916500002,0.228000008,0.68599999
